"","gene","horse_id","counts","infection"
"1","eca-miR-486-5p","CD1",8720190,"mock"
"2","eca-miR-451","CD1",144928,"mock"
"3","eca-miR-22","CD1",60372,"mock"
"4","eca-miR-191","CD1",51851,"mock"
"5","eca-miR-423-5p","CD1",47771,"mock"
"6","eca-miR-142-5p","CD1",42237,"mock"
"7","9_79881","CD1",18806,"mock"
"8","eca-miR-423-3p","CD1",18174,"mock"
"9","eca-miR-25","CD1",12909,"mock"
"10","eca-miR-181a","CD1",12282,"mock"
"11","eca-miR-92a","CD1",11311,"mock"
"12","eca-miR-186","CD1",9647,"mock"
"13","eca-miR-93","CD1",6006,"mock"
"14","22_45134","CD1",5325,"mock"
"15","eca-miR-128","CD1",4660,"mock"
"16","13_18058","CD1",4127,"mock"
"17","eca-miR-103","CD1",4088,"mock"
"18","eca-miR-107a","CD1",4076,"mock"
"19","eca-miR-107b","CD1",3220,"mock"
"20","eca-miR-30e","CD1",2643,"mock"
"21","eca-miR-101","CD1",2288,"mock"
"22","eca-miR-144","CD1",2197,"mock"
"23","X_83886","CD1",2032,"mock"
"24","28_54383","CD1",1716,"mock"
"25","eca-let-7a","CD1",1709,"mock"
"26","eca-let-7g","CD1",1578,"mock"
"27","eca-miR-16","CD1",1473,"mock"
"28","eca-let-7c","CD1",1323,"mock"
"29","eca-miR-148a","CD1",1140,"mock"
"30","eca-let-7f","CD1",1125,"mock"
"31","eca-miR-10a","CD1",1104,"mock"
"32","eca-miR-192","CD1",1017,"mock"
"33","eca-miR-151-5p","CD1",988,"mock"
"34","eca-miR-181b","CD1",836,"mock"
"35","eca-miR-27b","CD1",767,"mock"
"36","eca-miR-33b","CD1",694,"mock"
"37","30_59604","CD1",586,"mock"
"38","eca-miR-197","CD1",578,"mock"
"39","eca-let-7d","CD1",564,"mock"
"40","eca-miR-26a","CD1",560,"mock"
"41","eca-miR-30d","CD1",556,"mock"
"42","10_7714","CD1",509,"mock"
"43","eca-miR-28-3p","CD1",467,"mock"
"44","5_64196","CD1",375,"mock"
"45","13_16884","CD1",346,"mock"
"46","19_32368","CD1",343,"mock"
"47","eca-miR-150","CD1",342,"mock"
"48","eca-miR-19b","CD1",317,"mock"
"49","28_54459","CD1",300,"mock"
"50","eca-miR-1842","CD1",275,"mock"
"51","25_50123","CD1",274,"mock"
"52","X_83936","CD1",272,"mock"
"53","Un0002_87069","CD1",267,"mock"
"54","eca-miR-142-3p","CD1",243,"mock"
"55","1_443","CD1",236,"mock"
"56","20_40241","CD1",236,"mock"
"57","eca-miR-15b","CD1",229,"mock"
"58","eca-miR-30c","CD1",217,"mock"
"59","11_11122","CD1",199,"mock"
"60","eca-miR-1296","CD1",185,"mock"
"61","eca-miR-15a","CD1",179,"mock"
"62","eca-miR-361-3p","CD1",177,"mock"
"63","13_16574","CD1",163,"mock"
"64","eca-miR-1271","CD1",156,"mock"
"65","eca-miR-1180","CD1",151,"mock"
"66","Un0002_87083","CD1",144,"mock"
"67","2_34683","CD1",142,"mock"
"68","2_34682","CD1",142,"mock"
"69","eca-miR-148b-3p","CD1",133,"mock"
"70","eca-miR-652","CD1",132,"mock"
"71","eca-miR-106b","CD1",125,"mock"
"72","eca-miR-17","CD1",115,"mock"
"73","eca-miR-223","CD1",112,"mock"
"74","2_36866","CD1",108,"mock"
"75","2_33641","CD1",104,"mock"
"76","eca-miR-140-3p","CD1",104,"mock"
"77","27_51921","CD1",102,"mock"
"78","eca-miR-378","CD1",100,"mock"
"79","eca-miR-222","CD1",93,"mock"
"80","eca-miR-21","CD1",92,"mock"
"81","eca-miR-324-3p","CD1",87,"mock"
"82","12_14246","CD1",84,"mock"
"83","11_13347","CD1",78,"mock"
"84","eca-miR-106a","CD1",78,"mock"
"85","eca-miR-532-5p","CD1",78,"mock"
