gene,CD1,CD2,CD3,CDA,CDC,CDD
eca-miR-486-5p,8720190,6915893,5762274,4519245,5445002,6055352
eca-miR-451,144928,358127,1302088,835465,1970831,2014491
eca-miR-22,60372,33604,140474,71381,112475,128153
eca-miR-191,51851,87233,98228,105711,120170,152413
eca-miR-423-5p,47771,24544,35254,31048,42440,34589
eca-miR-142-5p,42237,51289,111810,91740,110281,107092
9_79881,18806,15380,23862,17216,21818,20077
eca-miR-423-3p,18174,13111,33020,15907,27765,29277
eca-miR-25,12909,49280,95082,155166,154058,176724
eca-miR-181a,12282,11452,20194,6201,20940,21199
eca-miR-92a,11311,47736,60952,173618,226874,253809
eca-miR-186,9647,54323,76668,120488,150757,173588
eca-miR-93,6006,18730,32808,62328,58418,62549
22_45134,5325,4151,5922,4029,6399,6845
eca-miR-128,4660,5670,12094,12919,12910,16866
13_18058,4127,3661,10094,7761,11523,11865
eca-miR-103,4088,5531,11064,17253,11266,14547
eca-miR-107a,4076,5512,11003,17248,11202,14462
eca-miR-107b,3220,4412,7578,13652,8001,9484
eca-miR-30e,2643,7430,16796,22598,34674,39806
eca-miR-101,2288,8930,17910,21728,33660,33004
eca-miR-144,2197,4441,19725,7687,37972,31702
X_83886,2032,6618,19372,6604,23430,26876
28_54383,1716,1700,3539,370,941,2902
eca-let-7a,1709,7191,8116,11960,47444,55067
eca-let-7g,1578,6474,17827,17474,25933,32479
eca-miR-16,1473,32411,38088,221160,244109,247417
eca-let-7c,1323,4040,6326,9187,17689,20521
eca-miR-148a,1140,3322,6397,5966,7696,9433
eca-let-7f,1125,15580,12680,30631,171867,165608
eca-miR-10a,1104,2964,1962,2130,5189,5654
eca-miR-192,1017,1374,2363,1425,1776,2740
eca-miR-151-5p,988,1919,2470,1386,2830,2423
eca-miR-181b,836,608,1424,674,1894,1362
eca-miR-27b,767,3718,3914,6878,11231,10291
eca-miR-33b,694,570,2659,907,1815,1744
30_59604,586,486,1886,1051,1887,2200
eca-miR-197,578,1398,1249,869,1594,3141
eca-let-7d,564,1803,4524,2637,8546,8812
eca-miR-26a,560,9525,5509,16853,33526,36754
eca-miR-30d,556,2109,2246,5077,5679,6646
10_7714,509,451,525,385,373,332
eca-miR-28-3p,467,345,604,925,378,417
5_64196,375,176,0,0,371,679
13_16884,346,101,192,69,214,146
19_32368,343,166,349,197,146,211
eca-miR-150,342,720,1998,1398,1701,2520
eca-miR-19b,317,473,1587,2968,2607,4291
28_54459,300,302,381,390,367,451
eca-miR-1842,275,386,864,272,378,531
25_50123,274,145,324,171,248,272
X_83936,272,673,1234,1210,1901,874
Un0002_87069,267,511,1528,237,988,1441
eca-miR-142-3p,243,435,2077,735,3157,3886
1_443,236,202,851,518,565,757
20_40241,236,196,228,109,219,220
eca-miR-15b,229,582,1124,2012,4319,5082
eca-miR-30c,217,947,2841,4281,4185,8743
11_11122,199,79,135,63,92,90
eca-miR-1296,185,111,592,305,581,705
eca-miR-15a,179,1303,3106,11374,3375,5379
eca-miR-361-3p,177,195,412,242,336,423
13_16574,163,118,499,366,742,613
eca-miR-1271,156,214,311,263,331,442
eca-miR-1180,151,75,434,203,349,292
Un0002_87083,144,159,490,95,215,276
2_34683,142,72,101,98,111,109
2_34682,142,72,101,98,111,109
eca-miR-148b-3p,133,231,610,392,704,902
eca-miR-652,132,306,537,821,983,926
eca-miR-106b,125,731,2275,4377,5705,6583
eca-miR-17,115,335,1124,1045,1701,2320
eca-miR-223,112,305,809,874,1656,1030
2_36866,108,43,82,47,36,181
2_33641,104,85,150,80,132,144
eca-miR-140-3p,104,173,314,323,403,328
27_51921,102,59,55,62,56,76
eca-miR-378,100,59,196,142,134,457
eca-miR-222,93,89,229,102,141,191
eca-miR-21,92,1313,2329,8220,14770,17018
eca-miR-324-3p,87,72,229,130,142,162
12_14246,84,43,67,36,33,32
11_13347,78,45,104,10,35,39
eca-miR-106a,78,248,771,1056,1191,1545
